"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Tyana (Darphane)","tyana-tr","46","1","1","tr-TR","Antik darphane","Tyana","Roma döneminde önemli bir merkez ve darphane olan Tyana, günümüz Niğde'nin Kemerhisar beldesinde yer almaktadır.","cappadocia-coins"
"Aphrodisias (Darphane)","aphrodisias-tr","46","1","1","tr-TR","Antik darphane","Aphrodisias","Heykeltıraşlık okulu ve iyi korunmuş anıtlarıyla ünlü bu kent, Aydın'ın Karacasu ilçesi yakınlarındadır.","caria-coins"
"Halikarnassos (Halikarnas) (Darphane)","halikarnassos-tr","46","1","1","tr-TR","Antik darphane","Halikarnassos (Halikarnas)","Dünyanın Yedi Harikası'ndan biri olan anıt mezara (Mausoleum) ev sahipliği yapan bu ünlü kent, günümüzün popüler turizm merkezi Bodrum, Muğla'dır.","caria-coins"
"Knidos (Darphane)","knidos-tr","46","1","1","tr-TR","Antik darphane","Knidos","Bilim, sanat ve mimarideki önemiyle bilinen bu liman kenti, Muğla'nın Datça ilçesinin en uç noktasında yer alır.","caria-coins"
"Mylasa (Darphane)","mylasa-tr","46","1","1","tr-TR","Antik darphane","Mylasa","Karya'nın antik başkentlerinden biri olan Mylasa, günümüzdeki Muğla'nın Milas ilçesidir.","caria-coins"
"Stratonikeia (Darphane)","stratonikeia-tr","46","1","1","tr-TR","Antik darphane","Stratonikeia","Gladyatörler şehri olarak da bilinen ve dünyanın en büyük mermer kentlerinden biri olan Stratonikeia, Muğla'nın Yatağan ilçesi sınırlarındadır.","caria-coins"
"Anazarbos (Anavarza) (Darphane)","anazarbos-tr","46","1","1","tr-TR","Antik darphane","Anazarbos (Anavarza)","Ovalık Kilikya'nın en önemli kentlerinden biri olan Anazarbos, günümüz Adana'nın Kozan ilçesi yakınlarındadır.","cilicia-coins"
"Kilikya Pedias (Ovalık Kilikya) (Darphane)","kilikya-pedias-tr","46","1","1","tr-TR","Antik darphane","Kilikya Pedias (Ovalık Kilikya)","Doğudaki, Seyhan ve Ceyhan nehirlerinin suladığı verimli Çukurova bölgesidir. Bu verimli topraklar ve stratejik limanlar, bölgeyi tarih boyunca önemli bir ticaret ve sikke basım merkezi yapmıştır.","cilicia-coins"
"Mopsos (Misis) (Darphane)","mopsos-tr","46","1","1","tr-TR","Antik darphane","Mopsos (Misis)","Ceyhan Nehri (antik Pyramos) üzerinde yer alan bu antik kent, Adana yakınlarındadır ve Misis Mozaik Müzesi ile tanınır.","cilicia-coins"
"Pompeiopolis (Darphane)","pompeiopolis-tr","46","1","1","tr-TR","Antik darphane","Pompeiopolis","Büyük Pompeius tarafından yeniden kurulan bu önemli liman kenti, günümüz Mersin'in Mezitli ilçesindeki Viranşehir'de yer alır.","cilicia-coins"
"Seleukeia ad Kalykadnos (Silifke) (Darphane)","seleukeia-ad-kalykadnos-tr","46","1","1","tr-TR","Antik darphane","Seleukeia ad Kalykadnos (Silifke)","Göksu Nehri'nin (antik Kalykadnos) kenarında kurulmuş olan bu şehir, günümüz Mersin'in Silifke ilçesidir.","cilicia-coins"
"Tarsus (Darphane)","tarsus-tr","46","1","1","tr-TR","Antik darphane","Tarsus","Aziz Paul'un doğum yeri olarak bilinen ve antik çağlardan beri önemli bir metropol olan Tarsus, günümüzde Mersin'in Tarsus ilçesidir.","cilicia-coins"
"Ankyra (Ancyra) (Darphane)","ankyra-tr","46","1","1","tr-TR","Antik darphane","Ankyra (Ancyra)","Galatya'nın Roma dönemindeki başkenti olan Ankyra, günümüz Türkiye'sinin başkenti Ankara'dır. Augustus Tapınağı (Monumentum Ancyranum) ile ünlüdür.","galatia-coins"
"Pessinus (Darphane)","pessinus-tr","46","1","1","tr-TR","Antik darphane","Pessinus","Ana tanrıça Kybele kültünün önemli merkezlerinden biri olan Pessinus, Eskişehir'in Sivrihisar ilçesi yakınlarındadır.","galatia-coins"
"Tavion (Tavium) (Darphane)","tavion-tr","46","1","1","tr-TR","Antik darphane","Tavion (Tavium)","Galat kabilelerinden Trocmi'lerin merkezi olan Tavion, günümüz Yozgat ili sınırları içinde yer almaktadır.","galatia-coins"
"Ephesos (Efes) (Darphane)","ephesos-tr","46","1","1","tr-TR","Antik darphane","Ephesos (Efes)","İzmir'in Selçuk ilçesi sınırları içinde yer alan, Artemis Tapınağı ile ünlü, antik dünyanın en önemli metropollerinden biridir.","ionia-coins"
"Klazomenai (Darphane)","klazomenai-tr","46","1","1","tr-TR","Antik darphane","Klazomenai","Günümüz İzmir'in Urla ilçesi yakınlarında bulunan bir diğer önemli İyon kentidir.","ionia-coins"
"Miletos (Milet) (Darphane)","miletos-tr","46","1","1","tr-TR","Antik darphane","Miletos (Milet)","Thales gibi filozofların anavatanı olan bu önemli liman kenti, günümüz Aydın'ın Didim ilçesi yakınlarındadır.","ionia-coins"
"Phokaia (Foça) (Darphane)","phokaia-tr","46","1","1","tr-TR","Antik darphane","Phokaia (Foça)","Denizcilikteki ustalıklarıyla bilinen bu kent, günümüzdeki tatil beldesi Foça, İzmir'in bulunduğu yerde kurulmuştur.","ionia-coins"
"Smyrna (Darphane)","smyrna-tr","46","1","1","tr-TR","Antik darphane","Smyrna","Günümüzdeki modern İzmir şehrinin temelini oluşturan antik kenttir. Roma döneminde önemli bir darphane merkeziydi.","ionia-coins"
"Teos (Darphane)","teos-tr","46","1","1","tr-TR","Antik darphane","Teos","Sanatçılar ve özellikle Dionysos kültü ile tanınan antik kent, İzmir'in Seferihisar ilçesi sınırlarındadır.","ionia-coins"
"Myra (Darphane)","myra-tr","46","1","1","tr-TR","Antik darphane","Myra","Kaya mezarlarıyla ünlü olan ve Aziz Nikolaos'un (Noel Baba) piskoposluk yaptığı kent, günümüzdeki Antalya'nın Demre ilçesidir.","lycia-coins"
"Olympos (Darphane)","olympos-tr","46","1","1","tr-TR","Antik darphane","Olympos","Sönmeyen ateşi (Chimera) ile bilinen bu liman kenti, günümüz Antalya'sının Kemer ilçesi yakınlarındadır.","lycia-coins"
"Patara (Darphane)","patara-tr","46","1","1","tr-TR","Antik darphane","Patara","Likya Birliği'nin meclis binasına ev sahipliği yapmış olan bu büyük liman kenti, yine Kaş, Antalya yakınlarındadır.","lycia-coins"
"Tlos (Darphane)","tlos-tr","46","1","1","tr-TR","Antik darphane","Tlos","Uçan at Pegasus'un sahibi Bellerophon'un yaşadığına inanılan ve sarp bir tepeye kurulmuş olan bu kent, Muğla'nın Fethiye ilçesi sınırlarındadır.","lycia-coins"
"Xanthos (Ksanthos) (Darphane)","xanthos-tr","46","1","1","tr-TR","Antik darphane","Xanthos (Ksanthos)","Likya Birliği'nin başkenti olan bu önemli kent, günümüzde Antalya'nın Kaş ilçesi yakınlarındaki Kınık mahallesinde yer alır.","lycia-coins"
"Sardes (Sardis) (Darphane)","sardes-tr","46","1","1","tr-TR","Antik darphane","Sardes (Sardis)","Lidya'nın başkenti ve en önemli darphane merkezi olan Sardes, günümüzdeki Manisa'nın Salihli ilçesi yakınlarındadır. Tarihteki ilk sikkelerin burada basıldığı kabul edilir.","lydia-coins"
"Adramytteion (Darphane)","adramytteion-tr","46","1","1","tr-TR","Antik darphane","Adramytteion","Edremit Körfezi'ne adını veren bu antik liman kenti, günümüz Balıkesir'in Edremit/Burhaniye civarında yer almaktaydı.","mysia-coins"
"Kyzikos (Cyzicus) (Darphane)","kyzikos-tr","46","1","1","tr-TR","Antik darphane","Kyzikos (Cyzicus)","Antik çağın en zengin şehirlerinden biri olan ve elektrum (altın-gümüş alaşımı) sikkeleriyle tanınan Kyzikos, Balıkesir'in Erdek ilçesi yakınlarındaki Kapıdağ Yarımadası'nda bulunur.","mysia-coins"
"Lampsakos (Lampsacus) (Darphane)","lampsakos-tr","46","1","1","tr-TR","Antik darphane","Lampsakos (Lampsacus)","Çanakkale Boğazı (Hellespont) kıyısında stratejik bir konuma sahip olan bu şehir, günümüz Çanakkale'nin Lapseki ilçesine adını vermiştir.","mysia-coins"
"Pergamon (Bergama) (Darphane)","pergamon-tr","46","1","1","tr-TR","Antik darphane","Pergamon (Bergama)","Helenistik dönemde Bergama Krallığı'nın başkenti olan ve parşömenin icadıyla ünlenen bu büyük kent, günümüz İzmir'in Bergama ilçesinde yer almaktadır.","mysia-coins"
"Aspendos (Darphane)","aspendos-tr","46","1","1","tr-TR","Antik darphane","Aspendos","En iyi korunmuş antik tiyatrosuyla bilinen Aspendos, günümüz Serik ilçesi sınırlarındadır.","pamphylia-coins"
"Attaleia (Darphane)","attaleia-tr","46","1","1","tr-TR","Antik darphane","Attaleia","Ve tabii ki, günümüz Antalya şehrinin antik kalbi olan ve Bergama Kralı II. Attalos tarafından kurulan Attaleia da önemli bir Pamfilya kentiydi.","pamphylia-coins"
"Perge (Darphane)","perge-tr","46","1","1","tr-TR","Antik darphane","Perge","Antalya'nın hemen yanı başında, günümüz Aksu ilçesinde yer alan, eyaletin en önemli şehirlerinden biriydi.","pamphylia-coins"
"Side (Darphane)","side-tr","46","1","1","tr-TR","Antik darphane","Side","Günümüzün popüler turizm merkezi olan Side, antik dönemde de en önemli liman ve darphane merkezlerinden biriydi.","pamphylia-coins"
"Apameia Kibotos (Darphane)","apameia-kibotos-tr","46","1","1","tr-TR","Antik darphane","Apameia Kibotos","Helenistik ve Roma dönemlerinde en yoğun sikke basan merkezlerden biri olan Apameia, günümüz Afyonkarahisar'ın Dinar ilçesidir.","phrygia-coins"
"Gordion (Darphane)","gordion-tr","46","1","1","tr-TR","Antik darphane","Gordion","Frigya'nın efsanevi kralı Midas'ın da başkenti olan Gordion, günümüz Ankara'sının Polatlı ilçesi yakınlarındadır.","phrygia-coins"
"Kotiaeion (Cotiaeum) (Darphane)","kotiaeion-tr","46","1","1","tr-TR","Antik darphane","Kotiaeion (Cotiaeum)","Antik Kotiaeion kenti, günümüz Kütahya şehrinin bulunduğu yerde kurulmuştur.","phrygia-coins"
"Laodikeia (Laodicea on the Lycus) (Darphane)","laodikeia-tr","46","1","1","tr-TR","Antik darphane","Laodikeia (Laodicea on the Lycus)","Tekstil ürünleriyle ünlü bu zengin kent, günümüz Denizli ili yakınlarında yer alır.","phrygia-coins"
"Antiocheia (Pisidya Antiocheia'sı) (Darphane)","antiocheia-tr","46","1","1","tr-TR","Antik darphane","Antiocheia (Pisidya Antiocheia'sı)","Roma döneminde Pisidya eyaletinin başkentliğini yapmış olan bu büyük şehir, bugünkü Isparta'nın Yalvaç ilçesindedir.","pisidia-coins"
"Kibyra (Darphane)","kibyra-tr","46","1","1","tr-TR","Antik darphane","Kibyra","Gladyatörleriyle ünlü bu antik kent, günümüzdeki Burdur'un Gölhisar ilçesi yakınlarındadır.","pisidia-coins"
"Kremna (Cremna) (Darphane)","kremna-tr","46","1","1","tr-TR","Antik darphane","Kremna (Cremna)","Burdur'un Bucak ilçesinde, etkileyici bir tepe üzerine kurulmuş bir Roma kolonisi ve önemli bir darphane merkezidir.","pisidia-coins"
"Sagalassos (Darphane)","sagalassos-tr","46","1","1","tr-TR","Antik darphane","Sagalassos","Proje planınızda da adı geçen Sagalassos, günümüzdeki Burdur'un Ağlasun ilçesi sınırlarındadır. Bölgenin en önemli ve en iyi korunmuş antik kentlerinden biridir.","pisidia-coins"
"Selge (Darphane)","selge-tr","46","1","1","tr-TR","Antik darphane","Selge","Torosların güney yamaçlarında, Antalya'nın Manavgat ilçesi sınırları içinde yer alan önemli bir dağ kentidir.","pisidia-coins"
"Termessos (Darphane)","termessos-tr","46","1","1","tr-TR","Antik darphane","Termessos","Antalya'nın kuzeybatısındaki Güllük Dağı Milli Parkı içinde yer alan, el değmemiş doğası ve iyi korunmuş yapılarıyla bilinen bir şehirdir.","pisidia-coins"
"Amaseia (Amasya) (Darphane)","amaseia-tr","46","1","1","tr-TR","Antik darphane","Amaseia (Amasya)","Pontus Krallığı'nın ilk başkenti olan ve Yeşilırmak (antik Iris) vadisinde yer alan, günümüz Amasya şehridir.","pontus-coins"
"Amisos (Samsun) (Darphane)","amisos-tr","46","1","1","tr-TR","Antik darphane","Amisos (Samsun)","Günümüz Samsun şehrinin temelini oluşturan, Karadeniz ticaretinde kilit rol oynamış bir diğer büyük liman kenti ve krallık darphanesidir.","pontus-coins"
"Kabeira (Neokaisareia) (Darphane)","kabeira-tr","46","1","1","tr-TR","Antik darphane","Kabeira (Neokaisareia)","Mithridates VI'nın önemli bir kalesi ve darphanesi olan, günümüz Tokat iline bağlı Niksar ilçesidir.","pontus-coins"
"Kerasos (Giresun) (Darphane)","kerasos-tr","46","1","1","tr-TR","Antik darphane","Kerasos (Giresun)","Günümüz Giresun şehrinin bulunduğu yerde kurulan, kirazın dünyaya yayıldığı yer olarak bilinen antik liman kentidir.","pontus-coins"
"Sinope (Sinop) (Darphane)","sinope-tr","46","1","1","tr-TR","Antik darphane","Sinope (Sinop)","Karadeniz'in en önemli doğal limanlarından birine sahip, stratejik bir Grek kolonisi ve daha sonra Pontus Krallığı'nın başkenti olan günümüz Sinop şehridir.","pontus-coins"
"Trapezus (Trabzon) (Darphane)","trapezus-tr","46","1","1","tr-TR","Antik darphane","Trapezus (Trabzon)","Bölgenin en doğudaki önemli Grek kolonilerinden biri olan ve İpek Yolu'nun Karadeniz'e açılan kapılarından biri olarak hizmet veren günümüz Trabzon şehridir.","pontus-coins"
"Abydos (Darphane)","abydos-tr","46","1","1","tr-TR","Antik darphane","Abydos","Çanakkale Boğazı'nın en dar yerinde, Asya'dan Avrupa'ya geçişin kilit noktası olan, günümüz Çanakkale merkezine yakın Nara Burnu civarındaki antik kenttir.","troas-coins"
"Alexandria Troas (Darphane)","alexandria-troas-tr","46","1","1","tr-TR","Antik darphane","Alexandria Troas","Büyük İskender'in generalleri tarafından kurulan ve Roma döneminde ""Yeni Roma"" olması bile düşünülen devasa bir liman kenti; günümüz Çanakkale'nin Ezine ilçesi yakınlarındadır.","troas-coins"
"Assos (Darphane)","assos-tr","46","1","1","tr-TR","Antik darphane","Assos","Athena Tapınağı ile ünlü, filozof Aristoteles'in bir süre yaşadığı, günümüz Çanakkale'nin Ayvacık ilçesine bağlı Behramkale köyünde yer alan liman kentidir.","troas-coins"
"Sigeion (Yeniköy) (Darphane)","sigeion-tr","46","1","1","tr-TR","Antik darphane","Sigeion (Yeniköy)","Çanakkale Boğazı'nın Ege girişinde, Aşil'in mezarının bulunduğuna inanılan, günümüz Çanakkale merkeze bağlı Yeniköy yakınlarındaki antik kenttir.","troas-coins"
"Tenedos (Bozcaada) (Darphane)","tenedos-tr","46","1","1","tr-TR","Antik darphane","Tenedos (Bozcaada)","Truva'nın tam karşısında yer alan, İlyada'da stratejik bir rol oynayan ve kendi adına sikke basan, günümüzdeki Bozcaada'dır.","troas-coins"
"Troia (Ilium / Truva) (Darphane)","troia-tr","46","1","1","tr-TR","Antik darphane","Troia (Ilium / Truva)","Efsanevi savaşın merkezi olan ve dokuz katmandan oluşan, günümüz Çanakkale il merkezine bağlı Hisarlık Tepe'de yer alan antik kenttir.","troas-coins"
